,score_0-14,score_15-24,score_25-44,score_45-64,score_65+,score_age,score_men,score_women,score_gender,score_household_size,score_single_family,score_multi_family,score_family,score_low_ed,score_med_ed,score_high_ed,score_education,score_recipients,score_employee,score_self_employed,score_employment,score_density,score_liveability
839,0.8119366889519601,0.8874374833649926,0.9807078121149787,0.9709891071505516,0.8961874199645599,0.9094517023094084,0.9767804267206724,0.9773585273635985,0.9770694770421355,0.9958049577771724,0.028279146334293608,0.652911652911653,0.3405953996229733,0.6742583704174053,0.9740470635576053,0.6495850930449206,0.7659635090066438,0.9858490003914597,0.9365510267554706,0.9991194220293244,0.973839816392085,0.6965943800716313,3.839107887214423
840,0.5520048790622138,0.9081440301300785,0.9618867748790543,0.8814536215063781,0.442297472937733,0.7491573557030915,0.9805695901233669,0.9809842122231731,0.98077690117327,0.7338477530785222,0.9305722726775358,0.9591843298703804,0.9448783012739581,0.5575630740756329,0.96226423617586,0.5102216713877534,0.6766829938797487,0.8870405518261479,0.6842337818315709,0.729945556735791,0.7670732967978365,0.9347101714178792,3.862282088048724
841,0.49015076091729615,0.9946529465324226,0.9412799049742381,0.8414580511992134,0.43362497346836576,0.7402333274183073,0.9968311266317729,0.9945042702766068,0.9956676984541899,0.7632016632016632,0.48074548768299136,0.7787741402199234,0.6297598139514574,0.5999623759723735,0.9152537761604869,0.3337130604078052,0.6163097375135551,0.8194756229163132,0.5994587443935343,0.5239333904633622,0.6476225859244032,0.9186380049537944,3.7867310127194163
842,0.5644992381059226,0.9599952650237656,0.7030723765746354,0.9225434302634735,0.8762497105370183,0.8052720041009632,0.9254510950810549,0.9362334318336407,0.9308422634573479,0.7632016632016632,0.8766535363631018,0.9367862846123717,0.9067199104877368,0.6432836555321588,0.8734402078401003,0.5813381387390361,0.6993540007037651,0.8674072159548144,0.7284555391892704,0.45302086798152585,0.6829612077085369,0.8716878094756283,3.9384222392478865
843,0.7072859307845002,0.8793942433344942,0.9781704431338021,0.8155443250342245,0.6159383677452014,0.7992666620064444,0.9783134634138644,0.97786989078787,0.9780916771008672,0.8385725960228821,0.14139573167146804,0.6804026698763541,0.41089920077391107,0.8521945282264218,0.5876886917388269,0.7021219885400598,0.7140017361684361,0.9848562018009347,0.8901928831831999,0.7682157303312473,0.8810882717717939,0.9269763568720695,4.023383120649162
844,0.5199179890950784,0.4684949150759352,0.8435132299554379,0.8432492669623688,0.40126269837961037,0.6152876198936861,0.9451048270288035,0.9390373654420072,0.9420710962354053,0.7861618087714519,0.0,0.6463825363825364,0.3231912681912682,0.5579170823766333,0.6719312351642606,0.536230683448915,0.5886930003299363,0.9820164744225529,0.9383824240133337,0.879617594575376,0.9333388310037543,0.44657333164699076,4.1013611844302424
845,0.7762312384121687,0.9581235199246336,0.9420242771665649,0.9594174111307306,0.9003147268199413,0.9072222346908078,0.9638043319185112,0.9621454356796555,0.9629748837990834,0.954002079002079,0.0,0.6463825363825364,0.3231912681912682,0.6187232140778789,0.872499507562405,0.6826329217411068,0.724618547793797,0.972250238238676,0.9133233382418215,0.8507711597128015,0.9121149120644331,0.8678932421812812,3.96041418493735
846,0.7219192796538099,0.9231941672411597,0.6831273086580953,0.9848839306581633,0.8199609739070861,0.8266171320236628,0.9531563011837966,0.9553444530064558,0.9542503770951262,0.8672746172746172,0.0,0.6463825363825364,0.3231912681912682,0.6602760539801782,0.8509619671971566,0.6213967331731545,0.710878251450163,0.968005579569895,0.8780774975095514,0.9367394373032503,0.9276075047942323,0.8129195657352148,3.905611418936714
847,0.6157746123350527,0.663081520959821,0.8234434854059424,0.7323932511051917,0.5922309604846515,0.6853847660581318,0.9347998505710153,0.9389119263068962,0.9368558884389557,0.7861618087714519,0.3676289023458169,0.7429684326236051,0.555298667484711,0.8491360274754359,0.7186215499822171,0.6456797718442497,0.737812449767301,0.9949770979428505,0.9792977932900173,0.9838222551496129,0.9860323821274936,0.5534509239655848,4.03042372616968
848,0.6798137665448621,0.9616554483062034,0.7563335185723181,0.9511537337467677,0.8707447559448837,0.8439402446230071,0.9196920173677051,0.9235309925532806,0.9216115049604929,0.8295670252191992,0.45246634134869773,0.7695030195030196,0.6109846804258586,0.6787920869394939,0.7705115015899686,0.65408005003113,0.7011278795201975,0.9015323031337655,0.7039015493366212,0.807473002068161,0.8043022848461826,0.8692291879542875,3.9088587077540318
849,0.7384644121134082,0.5802475852771106,0.9941413130866995,0.9967013849036958,0.950043909161508,0.8519197209084843,0.9847990397022998,0.9845881030301954,0.9846935713662476,0.954002079002079,0.6221412193544594,0.8286955594647903,0.7254183894096249,0.6862949276093226,0.982970169800818,0.6348404124966122,0.7680351699689175,0.9644597715861225,0.8778937773253525,0.8738564658176146,0.9054033382430299,0.8668960265841514,3.969168533252312
850,0.7590486543700473,0.9674513953630632,0.8855566793482009,0.9944929692982917,0.9278079173693825,0.9068715231497972,0.9703161884386478,0.9712346536311668,0.9707754210349073,0.9085734085734085,0.19795402434005527,0.695034985357566,0.44649450484881065,0.5217665876391806,0.8673973695638599,0.32379293376072416,0.5709856303212549,0.9607645234191258,0.8461845893675551,0.9706914430354238,0.9258801852740349,0.8770004383335701,3.8905329564399667
851,0.706866656018171,0.9805674472895888,0.7845393265853741,0.9739200978776685,0.9743496341726798,0.8840486323886964,0.9954677468793849,0.9982467105886004,0.9968572287339926,0.8295670252191992,0.45246634134869773,0.7695030195030196,0.6109846804258586,0.5972085668138818,0.8231441865633243,0.357474778130689,0.5926091771692984,0.9697882786114601,0.8943645799018131,0.8902515214614733,0.9181347933249154,0.9420020149483875,3.8872224707262797
852,0.8201215346067178,0.6454090788109038,0.6866615962860382,0.7946058036137277,0.7652350718024277,0.742406617023963,0.9990028720056983,0.998996709416003,0.9989997907108507,0.8295670252191992,0.39290829290829293,0.1547071499790936,0.27380772144369325,0.35666572197831864,0.35069947739034335,0.6941982890975456,0.4671878294887359,0.8773345152201488,0.36664721632136393,0.8264769449825876,0.6901528921747001,0.4270936925012041,4.314054832943688
