,prop_0-14,prop_15-24,prop_25-44,prop_45-64,prop_65+,prop_low_ed,prop_med_ed,prop_high_ed,prop_recipients,prop_employee,prop_self_employed,prop_men,prop_women,pop_density,income,liveability_score,inhabitants,household_size,households,assistance,AO,WW,Pension,p_belong_40p_w_lowest_income,p_belong_20p_w_highest_income,p_household_lowest_40p_income,p_household_highest_20p_income,p_household_smaller_bare_social_minimum,p_household_upto_110p_social_minimum,p_household_120p_social_minimum,single_family_housing,multi_family_housing
196,0.17040358744394618,0.059790732436472344,0.3617339312406577,0.2257100149476831,0.18236173393124067,0.11659192825112108,0.2750373692077728,0.37070254110612855,0.7174887892376681,0.23730941704035874,0.045201793721973194,0.5007473841554559,0.4977578475336323,0.16472989522384,0.35893416927899685,0.5021155695085692,0.11091518250749427,0.4285714285714285,0.1168122270742358,0.00546448087431694,0.036231884057971016,0.09090909090909091,0.07869742198100407,0.248,0.41700000000000004,0.28300000000000003,0.295,0.032,0.040999999999999995,0.05,0.12,0.88
197,0.014641288433382138,0.6281112737920937,0.3323572474377745,0.021961932650073207,0.0014641288433382138,0.01171303074670571,0.5241581259150805,0.5153733528550513,0.7906295754026355,0.19052708638360175,0.018843338213762828,0.48462664714494874,0.5153733528550513,0.464008708667846,0.006269592476489034,0.418696894747647,0.11338388291306647,0.0,0.22379912663755458,0.00546448087431694,0.021739130434782608,0.06060606060606061,0.0013568521031207597,0.747,0.031,0.943,0.006,0.077,0.138,0.19,0.01,0.99
198,0.19604612850082373,0.09884678747940692,0.26688632619439867,0.2652388797364086,0.1696869851729819,0.17792421746293247,0.20757825370675453,0.33278418451400327,0.7578253706754531,0.19616144975288305,0.04601317957166384,0.4925864909390445,0.5057660626029654,0.1869642128180705,0.2405956112852665,0.5281226730801187,0.09998236642567448,0.5238095238095238,0.09461426491994178,0.04918032786885246,0.06521739130434782,0.12121212121212122,0.06377204884667571,0.376,0.295,0.41,0.253,0.08199999999999999,0.128,0.153,0.46,0.54
199,0.16331658291457288,0.10301507537688442,0.23115577889447236,0.2613065326633166,0.23869346733668342,0.10552763819095477,0.16080402010050251,0.44221105527638194,0.7537688442211056,0.19698492462311556,0.04924623115577886,0.4824120603015075,0.5150753768844221,0.16821336236222614,0.28996865203761757,0.5372820067291076,0.0631281960853465,0.47619047619047616,0.06077147016011645,0.01092896174863388,0.043478260869565216,0.06060606060606061,0.05834464043419267,0.322,0.33899999999999997,0.314,0.311,0.046,0.054000000000000006,0.07200000000000001,0.55,0.45
200,0.12149532710280374,0.07850467289719626,0.26542056074766357,0.2261682242990654,0.30654205607476637,0.23177570093457944,0.23177570093457944,0.2953271028037383,0.7850467289719626,0.18271028037383177,0.03224299065420566,0.4635514018691589,0.5345794392523364,0.14475438835215676,0.21786833855799373,0.5055802360458899,0.08728619291130311,0.3333333333333333,0.09570596797671034,0.0273224043715847,0.07971014492753623,0.12121212121212122,0.1112618724559023,0.331,0.272,0.423,0.17600000000000002,0.057999999999999996,0.083,0.10099999999999999,0.26,0.74
201,0.17180616740088106,0.11674008810572688,0.2511013215859031,0.2577092511013216,0.2026431718061674,0.28634361233480177,0.24669603524229075,0.19823788546255505,0.7929515418502202,0.1759911894273128,0.031057268722467057,0.4779735682819383,0.5220264317180616,0.1663627704449585,0.13401253918495298,0.4024503724875827,0.07300299770763534,0.5238095238095238,0.06841339155749636,0.04371584699453552,0.06521739130434782,0.12121212121212122,0.05698778833107191,0.44,0.163,0.45399999999999996,0.136,0.073,0.114,0.158,0.43,0.57
202,0.1643835616438356,0.136986301369863,0.1643835616438356,0.3424657534246575,0.2054794520547945,0.1095890410958904,0.1643835616438356,0.4657534246575342,0.821917808219178,0.10150684931506848,0.07657534246575348,0.5205479452054794,0.4931506849315068,0.002095523200435433,0.9177115987460815,0.7474509339292748,0.005819079527420208,0.6666666666666666,0.0032751091703056767,0.0,0.007246376811594203,0.0,0.009497964721845319,0.376,0.361,0.22899999999999998,0.486,0.035,0.035,0.055999999999999994,0.94,0.06
203,0.17045454545454544,0.14772727272727273,0.1590909090909091,0.3409090909090909,0.19318181818181818,0.11363636363636363,0.2727272727272727,0.36363636363636365,0.6818181818181818,0.21954545454545454,0.09863636363636374,0.5227272727272727,0.4659090909090909,0.029827187372431622,0.3722570532915361,0.7448249532074535,0.008464115676247575,0.6666666666666666,0.004730713245997089,0.0,0.007246376811594203,0.030303030303030304,0.010854816824966078,0.34700000000000003,0.37,0.256,0.47700000000000004,0.035,0.040999999999999995,0.040999999999999995,0.96,0.04
204,0.14049586776859505,0.10743801652892562,0.2809917355371901,0.3305785123966942,0.1322314049586777,0.18181818181818182,0.2809917355371901,0.38016528925619836,0.8264462809917356,0.13190082644628098,0.04165289256198346,0.512396694214876,0.4793388429752066,0.06792760919853041,0.3079937304075235,0.5760456554601185,0.014283195203667784,0.4285714285714285,0.014192139737991267,0.00546448087431694,0.014492753623188406,0.0,0.010854816824966078,0.349,0.304,0.377,0.297,0.059000000000000004,0.11199999999999999,0.122,0.4,0.6
205,0.20666666666666667,0.1,0.17777777777777778,0.27111111111111114,0.24444444444444444,0.08444444444444445,0.18666666666666668,0.40444444444444444,0.7555555555555555,0.18577777777777776,0.058666666666666645,0.47555555555555556,0.5244444444444445,0.12954143420873587,0.3158307210031348,0.6494192217507073,0.0722976547346147,0.5714285714285713,0.06222707423580786,0.01092896174863388,0.028985507246376812,0.06060606060606061,0.06919945725915876,0.337,0.382,0.294,0.426,0.04,0.068,0.092,0.68,0.32
206,0.16346153846153846,0.1201923076923077,0.23076923076923078,0.2932692307692308,0.1971153846153846,0.18269230769230768,0.27884615384615385,0.3076923076923077,0.7692307692307693,0.1892307692307692,0.041538461538461524,0.4735576923076923,0.5240384615384616,0.11242345897401007,0.23981191222570536,0.48801196773148425,0.06630223946393934,0.5238095238095238,0.06040756914119359,0.01639344262295082,0.050724637681159424,0.09090909090909091,0.051560379918588875,0.36700000000000005,0.27899999999999997,0.33899999999999997,0.273,0.053,0.07400000000000001,0.098,0.56,0.44
