"postal_code","id","Weighted_Average_Age","Standard_Deviation_Age","prop_0.14","prop_15.24","prop_25.44","prop_45.64","prop_65.","prop_university","worker","prop_women","pop_density","livability_score","Aid","Income","single_family_housing","Distance GP","Within 1 km GP","Within 3 km GP","Within 5 km GP","Distance Hospital","Within 5 km Hospital","Within 10 km Hospital","Within 20 km Hospital","Distance Supermarket","Within 1 km Supermarket","Within 3 km Supermarket","Within 5 km Supermarket","Distance Department Store","Within 5 km Department Store","Within 10 km Department Store","Within 20 km Department Store","Distance Restaurant","Within 1 km Restaurant","Within 3 km Restaurant","Within 5 km Restaurant","Distance Day Care","Within 1 km Day Care","Within 3 km Day Care","Within 5 km Day Care","Distance School","Within 1 km School","Within 3 km School","Within 5 km School","age_cluster","demographic_cluster","social_cluster"
5990662,370,44.751741608613,22.1354567334048,0.145028499050032,0.0949968334388854,0.203926535782141,0.278657378087397,0.276757441418619,0.305256491450285,0.214692843571881,0.530715642811906,0.116696149135937,8.32855066118154,0.204678362573099,0.254702194357367,0.29,0.7,0.8,9.2,31.8,3.8,1.3,9.9,23.8,0.7,2.5,11.1,37.4,0.8,4.6,19.8,43.8,0.5,10.8,47.4,200.8,0.4,3.2,31.9,91.4,0.7,1.4,15,40.8,0,1,2
5990664,371,38.9825072886297,21.1538095628099,0.190962099125364,0.129737609329446,0.199708454810496,0.36734693877551,0.112244897959184,0.332361516034985,0.24198250728863,0.502915451895044,0.0517349299224384,8.44144959151168,0.064327485380117,0.287617554858934,0.89,0.8,0.9,6.5,37,4.1,1.9,12.1,24.8,1.9,0.1,9,50,2.5,8,21.2,43.9,0.8,1.4,33.3,218.5,0.6,3.2,18.1,105.9,1.2,0.3,9.8,51.2,0,1,2
5990665,372,40.6998777506113,23.4917553024954,0.226161369193154,0.0886308068459658,0.186430317848411,0.270171149144254,0.22799511002445,0.418092909535452,0.290953545232274,0.52078239608802,0.11002857531637,8.64410824994774,0.0994152046783626,0.38166144200627,0.69,0.8,0.9,5.7,32.9,4.6,1.1,10.8,24.5,0.6,2.3,7.1,36.9,1,4.5,20,44.4,0.5,6.7,36.5,149,0.4,3.7,22.5,86.8,0.4,3.8,10.5,42.3,0,1,0
5990814,373,38.2354368932039,19.5121119630632,0.115898058252427,0.180218446601942,0.351334951456311,0.20752427184466,0.144417475728155,0.285194174757282,0.186893203883495,0.537621359223301,0.430507552047898,8.21504572677973,0.263157894736842,0.120689655172414,0,0.4,6.5,33.3,63.3,1.2,7,12.9,25,0.3,9.6,52.6,92.5,1.2,10.6,21.2,43.6,0.2,71.4,440.7,624,0.3,12.4,84.5,176.8,0.3,6.3,32.5,73.2,0,1,0
5990836,374,33.7307692307692,19.2162255867644,0.217032967032967,0.112637362637363,0.399725274725275,0.18543956043956,0.0824175824175824,0.348901098901099,0.258241758241758,0.486263736263736,0.0954415566743775,8.09168604663078,0.0818713450292398,0.190438871473354,0.12,0.3,2.7,26.5,56.6,2.1,7,12.1,24.6,0.4,2.9,39.8,77.1,2,10.4,21,43.5,0.4,8,346.5,568.9,0.2,7,62.1,153.8,0.3,3.5,26.6,59.2,0,1,2
5990837,375,37.8311768330253,20.8449923130242,0.169439309919901,0.154035736290819,0.292667898952557,0.236598890942699,0.147258163894023,0.151571164510166,0.235982747997535,0.514479359211337,0.449802694244115,7.84450778851634,0.327485380116959,0.0760188087774295,0.04,0.4,5.7,28.5,61.1,1.6,7,12.9,24.9,0.4,6,45.9,86.2,1.5,11.1,21,43.7,0.3,22.2,391.3,600.3,0.2,12.3,73,163.9,0.2,7.4,30.6,65,2,1,0
5990841,376,37.21520578071,19.6991795874483,0.132893496701225,0.19258561105875,0.331762488218662,0.21143575243481,0.131322651586554,0.349984291548853,0.208294062205467,0.513666352497644,0.423948836576405,8.31227404301852,0.421052631578947,0.14576802507837,0.08,0.4,3.9,21,57.5,0.9,7,12.7,23.7,0.3,7.7,38.3,84.1,0.6,10,20.7,42.5,0.2,34.2,348.6,587.2,0.3,10.8,55.3,151,0.5,4.2,23.2,58.8,0,1,2
5990842,377,36.4386391251519,20.6825996588001,0.136087484811665,0.268529769137303,0.24179829890644,0.206561360874848,0.147023086269745,0.462940461725395,0.295261239368165,0.518833535844471,0.1102190774255,8.57854837822961,0.0760233918128655,0.349529780564263,0.31,0.6,1.6,13.7,48.9,0.6,6.7,12.5,22.3,0.6,3.8,22.5,70.4,0.9,8.5,21.2,43.9,0.4,16.6,171.7,513.1,0.3,8.9,38.7,125.6,0.6,3.6,16.4,49.9,2,1,2
5990845,378,40.8663793103448,19.8580986779185,0.0991379310344828,0.157327586206897,0.323275862068966,0.237068965517241,0.181034482758621,0.303879310344828,0.15948275862069,0.52801724137931,0.0739964621036876,7.97747134535699,0.128654970760234,0.141849529780564,0.04,0.8,0.7,4.9,27.7,2.1,4.7,12.8,20.7,0.8,1.1,10.4,45.8,2.3,6.6,21.5,40.4,0.7,2,62.7,394,0.7,1.8,20.8,78.1,0.7,0.8,7.2,32.8,0,1,0
5990847,379,36.4704276615105,18.4673380341191,0.0436760691537762,0.341219290263876,0.333030027297543,0.137397634212921,0.144676979071884,0.456778889899909,0.253867151956324,0.508644222020018,0.3827731664172,8.28908050173988,0.0701754385964912,0.164576802507837,0,1,0.6,17.6,57.5,0.9,6.8,12.7,22,0.7,4.5,31.3,81.8,0.9,8.6,21,42.8,0.2,22,308.3,579.3,0.4,6.2,45.3,147.4,0.8,1.3,19.5,59.9,0,1,0
