,postal_code,Distance GP,Within 1 km GP,Within 3 km GP,Within 5 km GP,Distance Hospital,Within 5 km Hospital,Within 10 km Hospital,Within 20 km Hospital,Distance Supermarket,Within 1 km Supermarket,Within 3 km Supermarket,Within 5 km Supermarket,Distance Department Store,Within 5 km Department Store,Within 10 km Department Store,Within 20 km Department Store,Distance Restaurant,Within 1 km Restaurant,Within 3 km Restaurant,Within 5 km Restaurant,Distance Day Care,Within 1 km Day Care,Within 3 km Day Care,Within 5 km Day Care,Distance School,Within 1 km School,Within 3 km School,Within 5 km School
201,3620604,1.2,0.4,12.1,19.3,1.5,1.8,7.8,12.8,0.5,2.2,18.3,33.6,1.5,3.9,12.9,32.9,1.0,2.9,83.6,157.0,0.5,2.3,27.6,60.5,0.9,1.3,14.4,26.5
202,3620701,2.4,0.0,2.5,21.5,4.0,1.2,6.2,11.0,1.9,0.1,5.7,32.3,3.4,4.0,16.3,32.1,1.1,1.0,29.1,210.9,1.8,0.0,9.2,68.6,1.8,0.0,5.4,24.7
203,3620702,1.3,0.1,3.8,15.4,2.5,1.0,4.6,11.0,0.8,0.9,5.6,23.9,3.0,2.0,12.3,31.5,0.5,6.9,24.2,129.4,1.3,0.1,15.8,43.3,1.4,0.0,7.0,20.1
204,3620801,0.8,2.7,9.0,18.0,2.6,2.0,7.6,15.0,0.6,1.8,15.6,26.8,2.2,2.0,12.1,38.1,0.1,17.3,72.1,125.0,0.7,2.1,28.0,51.0,0.3,1.0,8.9,22.9
205,3620802,0.3,2.0,10.9,18.7,2.2,2.0,7.1,14.1,0.7,2.2,17.4,26.9,2.0,2.0,11.9,37.8,0.3,21.8,74.7,125.9,0.6,3.0,34.7,51.6,0.6,2.4,14.9,23.2
206,3620803,0.8,1.3,11.7,18.8,1.6,1.8,6.6,13.1,0.8,1.8,18.2,27.6,1.9,2.0,11.7,36.3,0.2,12.8,78.4,125.7,0.2,4.5,34.1,55.7,0.4,3.0,15.3,25.5
207,3620804,0.4,2.1,10.1,17.0,2.3,1.3,5.3,14.0,0.3,3.1,17.9,26.7,2.5,2.0,11.2,37.3,0.3,12.8,71.1,117.5,0.5,5.0,34.3,47.8,0.8,2.1,13.2,22.9
208,3620805,0.9,0.8,11.0,18.2,1.6,1.2,5.1,13.5,0.6,3.5,16.3,26.4,2.3,2.0,11.1,36.1,0.3,10.1,67.2,118.3,0.4,4.5,31.2,50.8,0.4,2.9,14.1,22.6
209,3620806,1.1,0.9,9.0,14.6,2.4,1.0,4.7,14.0,0.8,2.6,14.9,24.6,3.1,2.0,11.0,36.3,0.5,4.8,55.9,104.5,0.4,2.8,27.9,45.3,1.2,0.3,12.3,22.7
210,3620901,1.5,0.0,9.2,17.8,0.4,1.0,4.9,13.0,0.8,1.2,14.5,27.4,2.0,2.0,10.6,33.0,0.2,1.0,68.7,119.0,0.2,3.2,24.5,55.8,1.0,0.4,13.5,25.3
