,postal_code,Weighted_Average_Age,Standard_Deviation_Age,prop_0-14,prop_15-24,prop_25-44,prop_45-64,prop_65+,prop_university,worker,prop_women,pop_density,livability_score,Aid,Income,single_family_housing
332,5460800,35.77491601343785,21.0360900920092,0.2026875699888018,0.1769316909294513,0.2541993281075028,0.24748040313549832,0.1187010078387458,0.1791713325867861,0.26091825307950733,0.528555431131019,0.23301129405361273,8.340862361171935,0.15789473684210525,0.07680250783699061,0.19
333,5460801,44.09349593495935,22.955394303928486,0.16666666666666666,0.10569105691056911,0.16666666666666666,0.2764227642276423,0.28252032520325204,0.3902439024390244,0.22764227642276424,0.49796747967479676,0.1959178119472037,8.085267841175728,0.023391812865497075,0.26959247648902823,1.0
334,5460802,45.232510288065846,22.972462775868408,0.16255144032921812,0.08436213991769548,0.18106995884773663,0.2551440329218107,0.3148148148148148,0.40329218106995884,0.21810699588477367,0.5061728395061729,0.17811947203701184,8.418798049072183,0.04093567251461988,0.21238244514106586,0.93
335,5460803,53.6764705882353,17.748604896682632,0.024509803921568627,0.04411764705882353,0.2647058823529412,0.22058823529411764,0.44607843137254904,0.4411764705882353,0.019607843137254943,0.5245098039215687,0.1381140291196081,8.208742346538736,0.029239766081871343,0.12852664576802508,0.0
336,5460804,38.84375,22.09582734222686,0.203125,0.13020833333333334,0.21354166666666666,0.2916666666666667,0.16145833333333334,0.4375,0.27083333333333337,0.5104166666666666,0.2370662675193904,8.144455334317946,0.017543859649122806,0.22884012539184956,1.0
337,5460805,39.665499124343256,22.079134800555405,0.19614711033274956,0.11208406304728546,0.2276707530647986,0.28546409807355516,0.17688266199649738,0.4413309982486865,0.22942206654991248,0.500875656742557,0.18443325622533677,8.36289378511718,0.04093567251461988,0.2633228840125392,0.88
338,5460900,43.005025125628144,21.698448531702127,0.15829145728643215,0.10301507537688442,0.20100502512562815,0.3341708542713568,0.20603015075376885,0.20603015075376885,0.1959798994974874,0.507537688442211,0.0995509593141924,8.356727498348612,0.04678362573099415,0.16536050156739815,0.9
339,5460901,42.04991087344028,21.402034299958782,0.15151515151515152,0.1140819964349376,0.22638146167557932,0.31016042780748665,0.19607843137254902,0.1925133689839572,0.18003565062388593,0.49376114081996436,0.21113076609062456,8.177068419129464,0.05847953216374269,0.15438871473354235,0.8
340,5460902,44.716312056737586,21.055293332248628,0.12411347517730496,0.08865248226950355,0.2375886524822695,0.2978723404255319,0.24822695035460993,0.24822695035460993,0.14893617021276595,0.5212765957446809,0.1738739964621037,8.118633261241339,0.05263157894736842,0.1512539184952978,0.41
341,5460903,41.963362068965516,20.796833263228567,0.1411637931034483,0.1314655172413793,0.20474137931034483,0.36530172413793105,0.1584051724137931,0.23706896551724138,0.18103448275862066,0.5010775862068966,0.16995509593141925,8.139598881519868,0.1286549707602339,0.16692789968652036,0.78
342,5990110,38.04419410745234,17.424820764783195,0.07567879838243789,0.17619872905834777,0.4413633737723859,0.19670710571923744,0.11034084344309647,0.4708261120739457,0.20277296360485264,0.47284806470248414,0.34578854265886516,8.515046508539601,0.3567251461988304,0.24764890282131663,0.0
343,5990111,39.48930620761607,20.172922641927507,0.13197704747000522,0.1476264997391758,0.31820552947313513,0.24517475221700574,0.15701617110067814,0.30672926447574334,0.19666145018257697,0.4986958789775691,0.4568512722819431,8.255802845172802,0.28654970760233917,0.11677115987460815,0.03
344,5990112,38.35921501706485,17.460886105854218,0.07764505119453925,0.15273037542662116,0.46757679180887374,0.17918088737201365,0.1220136518771331,0.5255972696245734,0.19795221843003408,0.4974402730375427,0.260661314464553,8.398002096831583,0.12280701754385964,0.22648902821316613,0.01
345,5990113,39.24878048780488,16.683097765352265,0.06341463414634146,0.13170731707317074,0.5024390243902439,0.1951219512195122,0.11219512195121951,0.5365853658536586,0.12195121951219512,0.44390243902439025,0.06749217580623214,8.437541529737171,0.017543859649122806,0.26489028213166144,0.0
346,5990118,40.13461538461539,18.313853578914898,0.055288461538461536,0.20192307692307693,0.37740384615384615,0.21634615384615385,0.15144230769230768,0.6490384615384616,0.13461538461538458,0.4735576923076923,0.0813988297727582,8.670340359431616,0.029239766081871343,0.31739811912225707,0.03
347,5990119,32.96621621621622,14.696032666847394,0.0472972972972973,0.3108108108108108,0.46621621621621623,0.11486486486486487,0.05405405405405406,1.1081081081081081,0.18918918918918914,0.5135135135135135,0.03943393659001224,8.503883809400675,0.011695906432748537,0.16379310344827586,0.02
348,5990320,35.39312204989886,17.41004836629106,0.11732973701955496,0.18745785569790965,0.4268374915711396,0.1935266351989211,0.07484828051247472,0.3519892110586649,0.2312879298718813,0.4787592717464599,0.4684991155259219,8.082089632837404,0.21052631578947367,0.11677115987460815,0.02
349,5990321,37.18821022727273,19.9294765896554,0.16193181818181818,0.15696022727272727,0.3103693181818182,0.2599431818181818,0.11079545454545454,0.17045454545454544,0.21875,0.49573863636363635,0.562824874132535,7.94975209402855,0.27485380116959063,0.07993730407523511,0.08
350,5990322,37.18940936863544,20.004940031737917,0.1629327902240326,0.14596062457569586,0.33536999321113375,0.2308214528173795,0.12423625254582485,0.2023082145281738,0.2124915139171758,0.49626612355736593,0.5409715607565655,7.830185852604457,0.2982456140350877,0.07680250783699061,0.01
351,5990323,35.11154408183147,19.822031818486437,0.19581100828056502,0.1544081831466147,0.32245494398441304,0.23867510959571359,0.08913784705309304,0.16074037993180712,0.24013638577691188,0.5021919142717973,0.46501564838753573,7.938949068501775,0.34502923976608185,0.09404388714733543,0.05
352,5990324,36.34501278772378,19.383395072573805,0.15907928388746803,0.1608695652173913,0.3442455242966752,0.2360613810741688,0.09974424552429667,0.28695652173913044,0.22250639386189264,0.4964194373401535,0.42841202884746227,8.191248070943306,0.543859649122807,0.11833855799373043,0.04
353,5990325,36.690140845070424,18.376124433435013,0.1304888152444076,0.1615575807787904,0.3860811930405965,0.2332228666114333,0.08864954432477216,0.38111019055509526,0.18806959403479706,0.4975144987572494,0.4822969111443734,8.305945635154417,0.28654970760233917,0.16614420062695928,0.06
354,5990327,37.37263157894737,18.66688845666946,0.1319298245614035,0.13894736842105262,0.40210526315789474,0.21964912280701754,0.10736842105263159,0.1656140350877193,0.18596491228070178,0.4575438596491228,0.23015376241665533,7.482761393785238,0.2222222222222222,0.09952978056426331,0.01
