Unnamed: 0,postal_code,Weighted_Average_Age,Standard_Deviation_Age,prop_0-14,prop_15-24,prop_25-44,prop_45-64,prop_65+,prop_university,worker,prop_women,pop_density,livability_score,Aid,Income,single_family_housing,age_labels,social_labels,demographic_labels,age_labels_dbscan,social_labels_dbscan,demographic_labels_dbscan
0,340101,47.44303797468354,21.552028344131305,0.0981012658227848,0.0949367088607595,0.2531645569620253,0.1993670886075949,0.3575949367088608,0.170886075949367,0.1772151898734176,0.5348101265822784,0.0853177303034426,8.226781356191296,0.0584795321637426,0.1199059561128526,0.03,0,1,0,0,0,0
1,340102,40.2027972027972,21.80390757095149,0.18006993006993,0.1013986013986013,0.2832167832167832,0.2395104895104895,0.1975524475524475,0.1713286713286713,0.1958041958041958,0.5174825174825175,0.1581711797523472,7.931986935092739,0.1403508771929824,0.1034482758620689,0.65,2,1,0,0,0,0
2,340201,40.31756046267088,19.234361532780984,0.1167192429022082,0.0967402733964248,0.4016824395373291,0.22397476340694,0.1598317560462671,0.3196635120925342,0.2639327024185068,0.4815983175604627,0.1571370254456388,8.070316826958626,0.1988304093567251,0.1700626959247649,0.01,2,0,0,0,0,0
3,340202,39.32070949185043,20.525904935422503,0.1505273250239693,0.1577181208053691,0.2444870565675934,0.3168744007670182,0.1303930968360498,0.2464046021093001,0.1946308724832215,0.512464046021093,0.1371070893999183,8.062305995914647,0.3450292397660818,0.1630094043887147,0.68,2,1,0,0,0,0
4,340203,36.69789842381786,19.93460215653121,0.1812609457092819,0.1558669001751313,0.2688266199649737,0.3161120840630473,0.0788091068301225,0.1821366024518388,0.2294220665499124,0.4964973730297723,0.2458565791264117,7.932074589851006,0.1871345029239766,0.1379310344827586,0.83,2,1,0,0,0,0
5,340204,40.25089285714286,21.13680986680969,0.1544642857142857,0.15625,0.2071428571428571,0.3303571428571428,0.1517857142857142,0.2642857142857143,0.2142857142857143,0.5196428571428572,0.1232548646074295,7.76416277900578,0.175438596491228,0.1716300940438871,0.81,2,1,0,0,0,0
6,340205,39.48879551820728,20.320877458765207,0.1540616246498599,0.1512605042016806,0.226890756302521,0.3599439775910364,0.1092436974789916,0.2408963585434173,0.2156862745098039,0.5042016806722689,0.095550415022452,7.725951964170212,0.1169590643274853,0.1826018808777429,0.81,2,1,0,0,0,0
7,340301,41.63764705882353,20.16321002102907,0.1247058823529411,0.0847058823529411,0.3788235294117647,0.2117647058823529,0.2023529411764706,0.1976470588235294,0.1999999999999999,0.5411764705882353,0.1278813444005987,7.978868037427102,0.1169590643274853,0.1089341692789968,0.15,0,1,0,0,0,0
8,340302,35.480274442538594,19.83926289236756,0.1972555746140651,0.1646655231560892,0.2547169811320754,0.3216123499142367,0.0600343053173241,0.1921097770154373,0.2281303602058318,0.4922813036020583,0.1337324806096067,7.954874693131569,0.1988304093567251,0.1653605015673981,0.89,1,1,0,0,0,0
9,340303,36.98714144411474,19.917851457942252,0.1800197823936696,0.1473788328387734,0.2631058358061325,0.3303659742828882,0.0771513353115727,0.211671612265084,0.2087042532146389,0.5004945598417408,0.0976187236358688,7.688136187249393,0.1812865497076023,0.1669278996865203,0.9,2,1,0,0,0,0
10,340401,33.38331454340474,17.967579253579046,0.2063134160090191,0.0913190529875986,0.4723788049605411,0.1679819616685456,0.0620067643742953,0.2277339346110485,0.2559188275084555,0.5174746335963923,0.2561164784324398,7.92920875021451,0.1637426900584795,0.20141065830721,0.2,1,1,0,0,0,0
11,340402,33.02707006369427,19.516551027959277,0.2515923566878981,0.0923566878980891,0.3869426751592357,0.197452229299363,0.071656050955414,0.2452229299363057,0.267515923566879,0.4984076433121019,0.1371887331609742,8.202036313511883,0.087719298245614,0.2147335423197492,0.55,1,1,0,0,0,0
